"Custom SKUs","Individuelle Artikelnummern"
"Custom SKU","Individuelle Artikelnummer"
"SKU","Artikelnummer"
"Entry successfully deleted.","Der Eintrag wurde erfolgreich gelöscht."
"Entry does not exist.","Der Eintrag existiert nicht."
"You have currently no custom SKU.","Sie haben derzeit keine individuellen Artikelnummern."
"Forbidden.","Verboten."
"Add to Cart","In den Warenkorb"
"Delete","Löschen"
"Save","Speichern"
"Data successfully saved.","Die Daten wurden erfolgreich gespeichert."
"You already have a custom sku for the sku ""%s"".","Sie haben bereits eine individuelle Artikelnummer für den Artikel ""%s"" vergeben."
"Error during save. Please try again.","Fehler beim Speichern des Eintrags. Bitte versuchen Sie es erneut."
"Your custom SKU:","Ihre individuelle Artikelnummer:"
"Your custom SKU","Ihre individuelle Artikelnummer"
"Our SKU","Unsere Artikelnummer"
"You already have a custom sku ""%s""!","Sie haben die individuelle Artikelnummer ""%s"" bereits vergeben!"
"Custom SKU by customer:","Kundenindividuelle Artikelnummer:"
